dt2_id;nama_dt2
1901;KOTA MAKASSAR
1902;KOTA PALOPO
1903;KOTA PAREPARE
1904;KABUPATEN MAROS
1905;KABUPATEN PANGKAJENE DAN KEPULAUAN
1906;KABUPATEN GOWA
1907;KABUPATEN TAKALAR
1908;KABUPATEN JENEPONTO
1909;KABUPATEN BARRU
1910;KABUPATEN BONE
1911;KABUPATEN WAJO
1912;KABUPATEN SOPPENG
1913;KABUPATEN BANTAENG
1914;KABUPATEN BULUKUMBA
1915;KABUPATEN SINJAI
1916;KABUPATEN KEPULAUAN SELAYAR
1917;KABUPATEN PINRANG
1918;KABUPATEN SIDENRENG RAPPANG
1919;KABUPATEN ENREKANG
1920;KABUPATEN LUWU
1921;KABUPATEN LUWU UTARA
1922;KABUPATEN TANA TORAJA
1923;KABUPATEN LUWU TIMUR
1924;KABUPATEN TORAJA UTARA
